Booking_ID,Hotel_Area,Hotel_Tier,Room_Type,Check_In,Check_Out,Nights,Rooms,ADR_INR,Booking_Status,Booking_Channel,Customer_Type,Estimated_Occupancy,Booking_Revenue_INR
DELJUL26-00037,Lajpat Nagar,Midscale,Standard,2026-07-10,2026-07-12,2,1,4540,Completed,Direct,Family,0.543,9080
DELJUL26-00038,Lajpat Nagar,Upscale,Standard,2026-07-12,2026-07-16,4,3,4965,Confirmed,Agoda,Couple,0.561,59578
DELJUL26-00039,Karol Bagh,Budget,Standard,2026-07-26,2026-07-27,1,2,1360,Completed,Direct,Leisure,0.583,2720
DELJUL26-00040,South Delhi,Economy,Deluxe,2026-07-26,2026-07-30,4,3,5354,Completed,Walk-in,Leisure,0.915,64248
DELJUL26-00041,Connaught Place,Luxury,Deluxe,2026-07-28,2026-08-02,5,3,14764,Confirmed,Booking.com,Family,0.371,221466
DELJUL26-00042,Greater Kailash,Economy,Deluxe,2026-07-15,2026-07-20,5,2,4712,Completed,Agoda,Business,0.531,47117
DELJUL26-00043,Greater Kailash,Midscale,Standard,2026-07-11,2026-07-13,2,1,4986,Completed,Agoda,Leisure,0.645,9971
DELJUL26-00044,Paharganj,Luxury,Standard,2026-07-16,2026-07-21,5,2,4358,Confirmed,MakeMyTrip,Couple,0.402,43582
DELJUL26-00045,Aerocity,Midscale,Standard,2026-07-25,2026-07-27,2,3,9956,Confirmed,Walk-in,Couple,0.64,59736
DELJUL26-00046,Rohini,Economy,Suite,2026-07-20,2026-07-22,2,1,2122,Completed,Goibibo,Leisure,0.414,4243
DELJUL26-00047,Saket,Midscale,Standard,2026-07-19,2026-07-21,2,3,9221,Confirmed,MakeMyTrip,Leisure,0.853,55327
DELJUL26-00048,Lajpat Nagar,Budget,Suite,2026-07-14,2026-07-15,1,2,1511,Confirmed,MakeMyTrip,Couple,0.512,3021
DELJUL26-00049,South Delhi,Budget,Standard,2026-07-22,2026-07-24,2,2,2769,Completed,Booking.com,Family,0.664,11078
DELJUL26-00050,Greater Kailash,Budget,Premium,2026-07-27,2026-08-01,5,3,2910,Completed,Direct,Business,0.721,43644
DELJUL26-00051,Greater Kailash,Upscale,Deluxe,2026-07-21,2026-07-25,4,3,9160,Completed,Walk-in,Family,0.533,109923
DELJUL26-00052,Connaught Place,Midscale,Premium,2026-07-13,2026-07-15,2,3,7459,Completed,Agoda,Business,0.561,44754
DELJUL26-00053,Paharganj,Economy,Deluxe,2026-07-27,2026-07-29,2,1,2349,Cancelled,Agoda,Leisure,0.656,0
DELJUL26-00054,Saket,Budget,Deluxe,2026-07-30,2026-08-01,2,2,4545,Completed,Walk-in,Couple,0.833,18181
DELJUL26-00055,Saket,Midscale,Deluxe,2026-07-25,2026-07-26,1,2,5571,Confirmed,Goibibo,Couple,0.622,11143
DELJUL26-00056,Aerocity,Upscale,Standard,2026-07-28,2026-07-29,1,3,14652,Confirmed,Walk-in,Leisure,0.645,43956
DELJUL26-00057,Dwarka,Economy,Premium,2026-07-09,2026-07-14,5,1,1493,Completed,Walk-in,Business,0.708,7463
DELJUL26-00058,Connaught Place,Economy,Deluxe,2026-07-14,2026-07-18,4,1,4378,Completed,Booking.com,Couple,0.605,17510
DELJUL26-00059,Greater Kailash,Upscale,Standard,2026-07-08,2026-07-12,4,1,8801,Confirmed,MakeMyTrip,Couple,0.786,35204
DELJUL26-00060,South Delhi,Upscale,Standard,2026-07-12,2026-07-14,2,3,5218,Completed,Direct,Group,0.353,31308
DELJUL26-00061,Rohini,Upscale,Deluxe,2026-07-23,2026-07-28,5,2,3969,Completed,Agoda,Couple,0.64,39689
DELJUL26-00062,Greater Kailash,Economy,Premium,2026-07-21,2026-07-22,1,3,5277,Cancelled,Direct,Leisure,0.904,0
DELJUL26-00063,Paharganj,Budget,Premium,2026-07-01,2026-07-06,5,1,1915,Confirmed,Agoda,Business,0.72,9576
DELJUL26-00064,Rohini,Economy,Standard,2026-07-24,2026-07-27,3,1,2493,Confirmed,Agoda,Business,0.642,7479
DELJUL26-00065,Saket,Economy,Deluxe,2026-07-06,2026-07-08,2,2,4670,Completed,MakeMyTrip,Group,0.813,18681
DELJUL26-00066,Paharganj,Upscale,Standard,2026-07-06,2026-07-10,4,3,3032,Confirmed,Goibibo,Leisure,0.586,36378
DELJUL26-00067,Rohini,Budget,Standard,2026-07-17,2026-07-20,3,2,1015,Confirmed,Walk-in,Business,0.63,6091
DELJUL26-00068,Paharganj,Midscale,Premium,2026-07-08,2026-07-10,2,1,1739,Confirmed,Agoda,Family,0.467,3478
DELJUL26-00069,Aerocity,Upscale,Standard,2026-07-30,2026-08-03,4,2,16925,Completed,MakeMyTrip,Business,0.425,135397
DELJUL26-00070,Saket,Luxury,Standard,2026-07-05,2026-07-09,4,2,16772,Confirmed,Walk-in,Couple,0.365,134174
DELJUL26-00071,Greater Kailash,Midscale,Standard,2026-07-05,2026-07-09,4,1,4298,Cancelled,Direct,Leisure,0.789,0
DELJUL26-00072,Connaught Place,Luxury,Standard,2026-07-24,2026-07-27,3,1,18266,Confirmed,Booking.com,Group,0.631,54797
DELJUL26-00073,Saket,Budget,Standard,2026-07-09,2026-07-11,2,3,4145,Confirmed,Booking.com,Family,0.914,24869
DELJUL26-00074,Connaught Place,Economy,Standard,2026-07-23,2026-07-26,3,1,6849,Confirmed,MakeMyTrip,Business,0.456,20546
DELJUL26-00075,South Delhi,Budget,Standard,2026-07-22,2026-07-27,5,1,3973,Completed,Agoda,Group,0.496,19866
DELJUL26-00076,Saket,Luxury,Premium,2026-07-06,2026-07-08,2,2,12811,Completed,Agoda,Leisure,0.733,51242
DELJUL26-00077,Paharganj,Upscale,Standard,2026-07-18,2026-07-23,5,1,4131,Confirmed,Direct,Family,0.383,20654
DELJUL26-00078,Karol Bagh,Budget,Premium,2026-07-17,2026-07-18,1,2,2897,Completed,Booking.com,Leisure,0.652,5794
DELJUL26-00079,Dwarka,Budget,Deluxe,2026-07-03,2026-07-04,1,2,1318,Confirmed,Agoda,Family,0.424,2636
DELJUL26-00080,South Delhi,Economy,Standard,2026-07-24,2026-07-26,2,1,6757,Completed,Goibibo,Business,0.447,13514
DELJUL26-00081,Rohini,Economy,Standard,2026-07-27,2026-07-28,1,2,1251,Confirmed,Booking.com,Couple,0.657,2502
DELJUL26-00082,Saket,Upscale,Standard,2026-07-30,2026-08-04,5,3,9369,Completed,MakeMyTrip,Family,0.691,140540
DELJUL26-00083,Connaught Place,Budget,Premium,2026-07-03,2026-07-05,2,3,2835,Completed,Goibibo,Couple,0.477,17008
DELJUL26-00084,Lajpat Nagar,Upscale,Deluxe,2026-07-06,2026-07-07,1,1,4477,Completed,Goibibo,Group,0.513,4477
DELJUL26-00085,South Delhi,Midscale,Standard,2026-07-26,2026-07-30,4,1,4186,Confirmed,Agoda,Group,0.52,16744
DELJUL26-00086,Greater Kailash,Economy,Standard,2026-07-10,2026-07-15,5,2,4431,Cancelled,Walk-in,Business,0.435,0
DELJUL26-00087,Aerocity,Budget,Standard,2026-07-20,2026-07-25,5,2,4299,Completed,Agoda,Family,0.929,42990
DELJUL26-00088,Paharganj,Luxury,Deluxe,2026-07-11,2026-07-12,1,2,3895,Cancelled,Direct,Couple,0.765,0
DELJUL26-00089,Greater Kailash,Midscale,Standard,2026-07-07,2026-07-11,4,1,6263,Confirmed,MakeMyTrip,Leisure,0.417,25054
DELJUL26-00090,Lajpat Nagar,Economy,Deluxe,2026-07-20,2026-07-22,2,1,3006,Confirmed,MakeMyTrip,Family,0.564,6012
DELJUL26-00091,Saket,Economy,Deluxe,2026-07-07,2026-07-12,5,1,5735,Confirmed,Goibibo,Family,0.454,28677
DELJUL26-00092,Lajpat Nagar,Upscale,Deluxe,2026-07-05,2026-07-09,4,3,7771,Cancelled,Walk-in,Group,0.491,0
DELJUL26-00093,Lajpat Nagar,Upscale,Standard,2026-07-17,2026-07-21,4,2,6529,Confirmed,MakeMyTrip,Leisure,0.914,52230
DELJUL26-00094,Paharganj,Upscale,Standard,2026-07-06,2026-07-11,5,2,2428,Completed,MakeMyTrip,Group,0.432,24277
DELJUL26-00095,Lajpat Nagar,Midscale,Standard,2026-07-06,2026-07-11,5,2,3520,Confirmed,Walk-in,Business,0.878,35205
DELJUL26-00096,Karol Bagh,Upscale,Premium,2026-07-25,2026-07-26,1,1,6899,Confirmed,Agoda,Group,0.855,6899
DELJUL26-00097,Karol Bagh,Economy,Standard,2026-07-17,2026-07-21,4,2,2088,Confirmed,MakeMyTrip,Couple,0.796,16704
DELJUL26-00098,South Delhi,Midscale,Standard,2026-07-17,2026-07-18,1,2,6092,Completed,Walk-in,Family,0.648,12185
DELJUL26-00099,South Delhi,Economy,Standard,2026-07-05,2026-07-10,5,1,7194,Cancelled,Booking.com,Leisure,0.505,0
DELJUL26-00100,Connaught Place,Midscale,Deluxe,2026-07-05,2026-07-09,4,2,10335,Completed,Booking.com,Business,0.849,82684
DELJUL26-00101,Lajpat Nagar,Luxury,Deluxe,2026-07-13,2026-07-14,1,1,8000,Completed,Direct,Couple,0.85,8000
DELJUL26-00102,Connaught Place,Luxury,Deluxe,2026-07-13,2026-07-15,2,1,19861,Completed,Direct,Business,0.665,39722
DELJUL26-00103,Lajpat Nagar,Midscale,Deluxe,2026-07-15,2026-07-20,5,2,4357,Confirmed,Walk-in,Couple,0.379,43570
DELJUL26-00104,Aerocity,Midscale,Premium,2026-07-05,2026-07-09,4,1,10336,Completed,Direct,Business,0.466,41342
DELJUL26-00105,Greater Kailash,Upscale,Premium,2026-07-28,2026-07-30,2,3,5115,Confirmed,Agoda,Leisure,0.384,30689
DELJUL26-00106,Greater Kailash,Luxury,Standard,2026-07-12,2026-07-17,5,2,10164,Completed,Direct,Couple,0.458,101637
DELJUL26-00107,Greater Kailash,Upscale,Standard,2026-07-26,2026-07-30,4,1,9921,Confirmed,Booking.com,Group,0.655,39684
DELJUL26-00108,South Delhi,Budget,Premium,2026-07-13,2026-07-14,1,3,3256,Completed,MakeMyTrip,Group,0.863,9769
DELJUL26-00109,Saket,Economy,Deluxe,2026-07-15,2026-07-17,2,1,4837,Cancelled,Booking.com,Family,0.742,0
DELJUL26-00110,Greater Kailash,Upscale,Suite,2026-07-04,2026-07-09,5,1,8582,Confirmed,Direct,Couple,0.711,42910
DELJUL26-00111,Karol Bagh,Upscale,Standard,2026-07-21,2026-07-23,2,3,6670,Completed,Walk-in,Couple,0.799,40020
DELJUL26-00112,Greater Kailash,Midscale,Suite,2026-07-02,2026-07-03,1,2,7357,Confirmed,MakeMyTrip,Family,0.734,14713
DELJUL26-00113,Dwarka,Midscale,Standard,2026-07-24,2026-07-28,4,2,3266,Confirmed,MakeMyTrip,Leisure,0.616,26131
DELJUL26-00114,Saket,Economy,Deluxe,2026-07-28,2026-08-02,5,1,5859,Completed,Agoda,Business,0.839,29296
DELJUL26-00115,Dwarka,Economy,Standard,2026-07-12,2026-07-15,3,2,2028,Completed,Walk-in,Business,0.536,12171
DELJUL26-00116,Dwarka,Upscale,Standard,2026-07-28,2026-08-02,5,1,5411,Completed,Booking.com,Couple,0.907,27054
DELJUL26-00117,Aerocity,Economy,Standard,2026-07-22,2026-07-23,1,3,6244,Confirmed,MakeMyTrip,Business,0.42,18731
DELJUL26-00118,Connaught Place,Midscale,Standard,2026-07-01,2026-07-05,4,3,10026,Confirmed,MakeMyTrip,Business,0.733,120308
DELJUL26-00119,Karol Bagh,Midscale,Standard,2026-07-07,2026-07-11,4,3,4201,Confirmed,Booking.com,Group,0.65,50415
DELJUL26-00120,Connaught Place,Upscale,Premium,2026-07-20,2026-07-25,5,2,16022,Completed,Direct,Leisure,0.605,160223
DELJUL26-00121,Saket,Economy,Suite,2026-07-22,2026-07-25,3,3,6310,Completed,Walk-in,Couple,0.608,56788
DELJUL26-00122,South Delhi,Midscale,Premium,2026-07-03,2026-07-08,5,1,10052,Confirmed,Agoda,Leisure,0.375,50259
DELJUL26-00123,South Delhi,Budget,Suite,2026-07-22,2026-07-23,1,1,3124,Confirmed,Agoda,Business,0.801,3124
DELJUL26-00124,Saket,Budget,Premium,2026-07-26,2026-07-27,1,1,4601,Confirmed,Booking.com,Group,0.561,4601
DELJUL26-00125,Lajpat Nagar,Economy,Premium,2026-07-03,2026-07-07,4,2,3577,Confirmed,Goibibo,Group,0.636,28617
DELJUL26-00126,Dwarka,Budget,Standard,2026-07-28,2026-07-29,1,2,1955,Confirmed,Direct,Business,0.859,3910
DELJUL26-00127,Aerocity,Luxury,Standard,2026-07-17,2026-07-22,5,1,20849,Confirmed,Direct,Leisure,0.696,104246
DELJUL26-00128,Greater Kailash,Upscale,Premium,2026-07-20,2026-07-21,1,2,7189,Confirmed,Walk-in,Group,0.861,14378
DELJUL26-00129,Dwarka,Budget,Standard,2026-07-02,2026-07-06,4,3,1576,Confirmed,Booking.com,Group,0.432,18908
DELJUL26-00130,South Delhi,Upscale,Deluxe,2026-07-20,2026-07-23,3,2,7703,Confirmed,Agoda,Family,0.519,46217
DELJUL26-00131,Dwarka,Midscale,Deluxe,2026-07-15,2026-07-19,4,3,2326,Cancelled,Booking.com,Leisure,0.487,0
DELJUL26-00132,Dwarka,Midscale,Standard,2026-07-12,2026-07-16,4,2,3943,Completed,Goibibo,Couple,0.882,31543
DELJUL26-00133,Aerocity,Upscale,Standard,2026-07-25,2026-07-28,3,3,18901,Confirmed,Goibibo,Couple,0.819,170108
DELJUL26-00134,Dwarka,Midscale,Deluxe,2026-07-08,2026-07-11,3,2,4016,Confirmed,Agoda,Group,0.85,24096
DELJUL26-00135,Greater Kailash,Budget,Deluxe,2026-07-02,2026-07-05,3,2,3194,Cancelled,Walk-in,Couple,0.691,0
DELJUL26-00136,Paharganj,Budget,Standard,2026-07-16,2026-07-20,4,1,1468,Confirmed,MakeMyTrip,Group,0.482,5874
DELJUL26-00137,South Delhi,Economy,Deluxe,2026-07-24,2026-07-28,4,3,4192,Confirmed,Walk-in,Family,0.576,50308
DELJUL26-00138,Aerocity,Luxury,Standard,2026-07-05,2026-07-08,3,2,17933,Confirmed,Booking.com,Leisure,0.68,107598
DELJUL26-00139,Paharganj,Midscale,Standard,2026-07-31,2026-08-02,2,3,3437,Confirmed,Walk-in,Couple,0.361,20620
DELJUL26-00140,Saket,Economy,Deluxe,2026-07-21,2026-07-22,1,1,3359,Completed,MakeMyTrip,Business,0.734,3359
DELJUL26-00141,Rohini,Budget,Standard,2026-07-29,2026-08-02,4,2,1896,Completed,Walk-in,Couple,0.863,15166
DELJUL26-00142,Karol Bagh,Upscale,Premium,2026-07-15,2026-07-17,2,3,5872,Confirmed,Agoda,Leisure,0.545,35229
DELJUL26-00143,Karol Bagh,Economy,Standard,2026-07-04,2026-07-07,3,1,2706,Confirmed,Goibibo,Leisure,0.758,8119
DELJUL26-00144,Saket,Midscale,Suite,2026-07-06,2026-07-11,5,1,7302,Completed,Walk-in,Family,0.64,36512
DELJUL26-00145,Rohini,Midscale,Premium,2026-07-16,2026-07-20,4,3,2378,Cancelled,Agoda,Family,0.352,0
DELJUL26-00146,Lajpat Nagar,Economy,Premium,2026-07-19,2026-07-21,2,1,4316,Completed,Goibibo,Leisure,0.52,8632
DELJUL26-00147,Aerocity,Budget,Deluxe,2026-07-23,2026-07-26,3,3,5573,Completed,Booking.com,Couple,0.667,50153
DELJUL26-00148,Karol Bagh,Economy,Deluxe,2026-07-25,2026-07-27,2,2,3152,Confirmed,MakeMyTrip,Couple,0.785,12610
DELJUL26-00149,Lajpat Nagar,Economy,Deluxe,2026-07-24,2026-07-28,4,3,3059,Confirmed,Direct,Group,0.591,36710
DELJUL26-00150,Aerocity,Midscale,Deluxe,2026-07-19,2026-07-20,1,2,11814,Confirmed,Agoda,Business,0.462,23628
DELJUL26-00151,Lajpat Nagar,Upscale,Standard,2026-07-01,2026-07-06,5,1,6584,Completed,Goibibo,Couple,0.387,32919
DELJUL26-00152,Karol Bagh,Budget,Standard,2026-07-17,2026-07-22,5,3,2002,Confirmed,Agoda,Group,0.779,30035
DELJUL26-00153,Rohini,Midscale,Standard,2026-07-26,2026-07-28,2,2,3163,Completed,Goibibo,Leisure,0.569,12654
DELJUL26-00154,Karol Bagh,Budget,Deluxe,2026-07-27,2026-07-29,2,2,2473,Cancelled,Booking.com,Group,0.738,0
DELJUL26-00155,Saket,Budget,Standard,2026-07-26,2026-07-29,3,3,2949,Completed,Walk-in,Couple,0.483,26545
DELJUL26-00156,South Delhi,Upscale,Deluxe,2026-07-01,2026-07-05,4,1,12180,Completed,MakeMyTrip,Couple,0.803,48720
DELJUL26-00157,Connaught Place,Upscale,Standard,2026-07-14,2026-07-18,4,2,8678,Confirmed,Agoda,Couple,0.557,69422
DELJUL26-00158,Dwarka,Upscale,Standard,2026-07-20,2026-07-21,1,2,5623,Confirmed,Direct,Couple,0.381,11247
DELJUL26-00159,Dwarka,Budget,Deluxe,2026-07-08,2026-07-12,4,2,1571,Cancelled,Goibibo,Couple,0.656,0
DELJUL26-00160,Greater Kailash,Midscale,Premium,2026-07-13,2026-07-14,1,3,4701,Completed,MakeMyTrip,Leisure,0.789,14102
DELJUL26-00161,Rohini,Economy,Standard,2026-07-04,2026-07-06,2,1,3109,Completed,Walk-in,Leisure,0.909,6219
DELJUL26-00162,South Delhi,Luxury,Premium,2026-07-07,2026-07-11,4,3,11714,Cancelled,Agoda,Leisure,0.933,0
DELJUL26-00163,Saket,Midscale,Standard,2026-07-01,2026-07-06,5,2,5565,Completed,Walk-in,Group,0.624,55654
DELJUL26-00164,Saket,Luxury,Standard,2026-07-31,2026-08-04,4,2,10032,Confirmed,Booking.com,Family,0.717,80255
DELJUL26-00165,Saket,Budget,Standard,2026-07-27,2026-07-28,1,3,2981,Confirmed,Goibibo,Group,0.684,8944
DELJUL26-00166,Lajpat Nagar,Economy,Standard,2026-07-13,2026-07-17,4,2,3627,Completed,Goibibo,Group,0.67,29016
DELJUL26-00167,Paharganj,Upscale,Standard,2026-07-01,2026-07-02,1,1,4194,Cancelled,Booking.com,Business,0.419,0
DELJUL26-00168,Connaught Place,Economy,Standard,2026-07-11,2026-07-13,2,1,3937,Completed,Booking.com,Leisure,0.753,7873
DELJUL26-00169,Paharganj,Midscale,Deluxe,2026-07-14,2026-07-15,1,3,2793,Confirmed,Agoda,Group,0.929,8379
DELJUL26-00170,Aerocity,Midscale,Deluxe,2026-07-06,2026-07-11,5,3,10956,Completed,Direct,Family,0.426,164333
DELJUL26-00171,Connaught Place,Luxury,Standard,2026-07-21,2026-07-23,2,1,15834,Confirmed,MakeMyTrip,Business,0.537,31668
DELJUL26-00172,Aerocity,Budget,Premium,2026-07-31,2026-08-03,3,3,6003,Confirmed,Agoda,Couple,0.396,54026
DELJUL26-00173,Greater Kailash,Luxury,Deluxe,2026-07-27,2026-07-31,4,2,10696,Confirmed,Walk-in,Family,0.592,85565
DELJUL26-00174,Greater Kailash,Economy,Standard,2026-07-27,2026-08-01,5,1,4923,Completed,Goibibo,Business,0.639,24613
DELJUL26-00175,South Delhi,Economy,Standard,2026-07-26,2026-07-31,5,3,5089,Confirmed,Agoda,Business,0.565,76340
DELJUL26-00176,Saket,Midscale,Standard,2026-07-03,2026-07-04,1,2,5432,Confirmed,Agoda,Group,0.636,10863
DELJUL26-00177,Greater Kailash,Economy,Premium,2026-07-18,2026-07-20,2,1,4189,Confirmed,Booking.com,Business,0.832,8379
DELJUL26-00178,Connaught Place,Luxury,Standard,2026-07-18,2026-07-21,3,2,20549,Confirmed,Agoda,Group,0.478,123291
DELJUL26-00179,Rohini,Upscale,Standard,2026-07-04,2026-07-08,4,3,4273,Completed,Agoda,Family,0.805,51273
DELJUL26-00180,Dwarka,Luxury,Standard,2026-07-05,2026-07-07,2,1,6589,Completed,Agoda,Leisure,0.826,13178
DELJUL26-00181,Rohini,Luxury,Standard,2026-07-18,2026-07-20,2,2,8147,Completed,Goibibo,Leisure,0.699,32588
DELJUL26-00182,Connaught Place,Midscale,Standard,2026-07-23,2026-07-27,4,3,9494,Confirmed,Direct,Couple,0.539,113927
DELJUL26-00183,Saket,Economy,Deluxe,2026-07-07,2026-07-10,3,2,2754,Cancelled,Direct,Leisure,0.912,0
DELJUL26-00184,South Delhi,Upscale,Suite,2026-07-16,2026-07-20,4,2,8684,Confirmed,Goibibo,Leisure,0.568,69474
DELJUL26-00185,Saket,Budget,Standard,2026-07-03,2026-07-05,2,3,2400,Cancelled,Booking.com,Family,0.38,0
DELJUL26-00186,Saket,Upscale,Standard,2026-07-04,2026-07-07,3,1,9607,Completed,MakeMyTrip,Family,0.432,28822
DELJUL26-00187,Connaught Place,Economy,Standard,2026-07-18,2026-07-19,1,1,4872,Confirmed,MakeMyTrip,Group,0.885,4872
DELJUL26-00188,Paharganj,Midscale,Standard,2026-07-18,2026-07-19,1,3,2889,Completed,Agoda,Group,0.44,8668
DELJUL26-00189,Karol Bagh,Economy,Deluxe,2026-07-24,2026-07-25,1,1,1954,Confirmed,MakeMyTrip,Group,0.618,1954
DELJUL26-00190,Paharganj,Economy,Suite,2026-07-29,2026-07-30,1,3,2130,Completed,Goibibo,Leisure,0.765,6389
DELJUL26-00191,South Delhi,Budget,Deluxe,2026-07-06,2026-07-08,2,1,4767,Completed,MakeMyTrip,Group,0.694,9535
DELJUL26-00192,South Delhi,Economy,Standard,2026-07-11,2026-07-12,1,1,4676,Completed,Direct,Group,0.742,4676
DELJUL26-00193,South Delhi,Economy,Premium,2026-07-27,2026-07-28,1,1,7473,Completed,Agoda,Couple,0.559,7473
DELJUL26-00194,Paharganj,Budget,Premium,2026-07-02,2026-07-07,5,2,1944,Confirmed,Goibibo,Group,0.747,19444
DELJUL26-00195,Rohini,Budget,Standard,2026-07-26,2026-07-31,5,3,2056,Completed,Booking.com,Group,0.355,30844
DELJUL26-00196,Aerocity,Midscale,Premium,2026-07-30,2026-08-01,2,3,8731,Cancelled,Agoda,Couple,0.508,0
DELJUL26-00197,Paharganj,Economy,Deluxe,2026-07-04,2026-07-09,5,1,2699,Cancelled,Direct,Family,0.424,0
DELJUL26-00198,Connaught Place,Upscale,Premium,2026-07-05,2026-07-06,1,2,6837,Confirmed,Booking.com,Business,0.623,13673
DELJUL26-00199,Paharganj,Budget,Standard,2026-07-22,2026-07-23,1,3,1467,Confirmed,Booking.com,Business,0.437,4400
DELJUL26-00200,Rohini,Midscale,Standard,2026-07-15,2026-07-17,2,3,3760,Completed,Goibibo,Business,0.678,22561
DELJUL26-00201,Paharganj,Budget,Premium,2026-07-31,2026-08-02,2,2,1732,Confirmed,Walk-in,Family,0.458,6928
DELJUL26-00202,Rohini,Midscale,Standard,2026-07-17,2026-07-18,1,1,3167,Confirmed,Walk-in,Family,0.599,3167
